DevType,EdLevel,YearsCodePro,LanguageWorkedWith,ConvertedComp
Designer,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;JavaScript,44276.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;C++;Go;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL;TypeScript,145043.0
"Developer, back-end",Some college/university study without earning a degree,17,Bash/Shell/PowerShell;Clojure;HTML/CSS;JavaScript;Ruby;SQL;Other(s):,61071.0
"Developer, front-end",Associate degree,21,Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;PHP;Python;SQL,91606.0
Database administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4,C#;SQL;VBA;Other(s):,81682.0
"Developer, front-end",Associate degree,21,C#;HTML/CSS;JavaScript;SQL,82064.0
Database administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;C++;C#;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,55345.0
Data scientist or machine learning specialist,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10,Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,68705.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;C#;HTML/CSS;SQL;VBA,38169.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",24,C#;HTML/CSS;JavaScript;PHP;Python;SQL,122142.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",10,C#;Elixir;HTML/CSS;JavaScript,86263.0
DevOps specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",19,C#,99240.0
System administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",21,Assembly;C#;HTML/CSS;Python;SQL;Other(s):,35879.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;JavaScript;SQL,99240.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,C#;HTML/CSS;JavaScript,69468.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;R;SQL,114508.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;PHP;Python;SQL,43131.0
Engineering manager,"Bachelor’s degree (BA, BS, B.Eng., etc.)",15,Bash/Shell/PowerShell;HTML/CSS;JavaScript,99240.0
Product manager,Some college/university study without earning a degree,17,Bash/Shell/PowerShell;Clojure;HTML/CSS;JavaScript;Ruby;SQL;Other(s):,61071.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",22,C#;HTML/CSS;JavaScript;PHP;SQL,37788.0
System administrator,Primary/elementary school,13,Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,76339.0
DevOps specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL,89316.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",18,Bash/Shell/PowerShell;C#;HTML/CSS;PHP;SQL;TypeScript;VBA,44276.0
"Developer, desktop or enterprise applications",Some college/university study without earning a degree,18,C#;PHP;Swift,71758.0
Academic researcher,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1,C++;C#;HTML/CSS;JavaScript;SQL,72522.0
DevOps specialist,Primary/elementary school,13,Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,76339.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",1,Elixir;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL,42750.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;SQL,42950.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",10,HTML/CSS;JavaScript,57254.0
Database administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",22,Assembly;Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;SQL;VBA;Other(s):,61071.0
"Developer, embedded applications or devices","Bachelor’s degree (BA, BS, B.Eng., etc.)",21,Bash/Shell/PowerShell;Erlang;Go;Java;JavaScript;Python,103057.0
"Developer, back-end","Other doctoral degree (Ph.D, Ed.D., etc.)",2,Bash/Shell/PowerShell;Python;SQL;Other(s):,76339.0
"Developer, back-end",Associate degree,11,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript;VBA,76339.0
"Developer, mobile","Bachelor’s degree (BA, BS, B.Eng., etc.)",8,C#;Java;Scala,76339.0
"Developer, full-stack",Primary/elementary school,25,Assembly;Bash/Shell/PowerShell;C;C++;C#;JavaScript;Objective-C;PHP;Python;Swift,76339.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",4,C;C++;C#;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;SQL;TypeScript;VBA,53437.0
"Developer, mobile","Master’s degree (MA, MS, M.Eng., MBA, etc.)",12,Bash/Shell/PowerShell;Dart;JavaScript;Python;Swift;TypeScript,76339.0
"Developer, desktop or enterprise applications",Some college/university study without earning a degree,10,C#;SQL;VBA,64888.0
"Developer, back-end",Associate degree,10,Bash/Shell/PowerShell;JavaScript;PHP;SQL;TypeScript,53437.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;R;Rust;SQL;TypeScript,49620.0
"Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5,C#;HTML/CSS;JavaScript;SQL;TypeScript;Other(s):,57254.0
"Developer, QA or test",I never completed any formal education,13,HTML/CSS;JavaScript,80155.0
"Developer, embedded applications or devices","Other doctoral degree (Ph.D, Ed.D., etc.)",1,Python;R;Scala;SQL,70613.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Assembly;C;C++;HTML/CSS;Python;Rust;SQL,122142.0
System administrator,Associate degree,8,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,61071.0
DevOps specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;Swift,41986.0
Data or business analyst,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,HTML/CSS;JavaScript;Ruby;TypeScript,83972.0
"Developer, full-stack",Some college/university study without earning a degree,4,Bash/Shell/PowerShell;Elixir;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;Swift,91606.0
"Developer, front-end",,5,HTML/CSS;JavaScript,37.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;Scala;SQL;TypeScript,64888.0
Database administrator,I never completed any formal education,12,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;Scala;SQL;VBA,62598.0
Data scientist or machine learning specialist,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;R;Scala;SQL,122142.0
Database administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",12,C#;HTML/CSS;PHP;Python;VBA,88000.0
"Developer, back-end",Some college/university study without earning a degree,15,C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,77102.0
"Developer, back-end",Some college/university study without earning a degree,11,C#;HTML/CSS;JavaScript;SQL;TypeScript,45803.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,C#;HTML/CSS;JavaScript,69468.0
Student,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6,HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;SQL;VBA,40459.0
"Developer, QA or test","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;Swift,41986.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,C;C++;C#;Go;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;R;SQL,68705.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",9,Bash/Shell/PowerShell;C++;Elixir;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;SQL,122142.0
Senior executive/VP,Some college/university study without earning a degree,17,Bash/Shell/PowerShell;Clojure;HTML/CSS;JavaScript;Ruby;SQL;Other(s):,61071.0
"Developer, full-stack",Some college/university study without earning a degree,21,Bash/Shell/PowerShell;C++;Elixir;Go;HTML/CSS;JavaScript;Kotlin;Python;SQL;TypeScript,137409.0
DevOps specialist,Associate degree,2,C++;C#;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,45803.0
DevOps specialist,Associate degree,5,HTML/CSS;JavaScript;SQL;TypeScript,83972.0
"Developer, embedded applications or devices","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Assembly;Bash/Shell/PowerShell;C;C++,76339.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",22,C#;HTML/CSS;JavaScript;PHP;SQL,37788.0
"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",21,Bash/Shell/PowerShell;Go;JavaScript;Ruby;TypeScript,45803.0
"Engineer, site reliability","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,61071.0
"Developer, front-end","Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,C#;HTML/CSS;JavaScript,56490.0
Database administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;R;SQL,114508.0
Database administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;C;C++;Java;Python;SQL,69621.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;Python;Ruby;SQL,38169.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,C#;HTML/CSS;JavaScript;PHP;SQL,41223.0
"Developer, full-stack","Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,Python;SQL,64888.0
DevOps specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;Python;TypeScript,34352.0
"Developer, desktop or enterprise applications",Associate degree,2,C++;C#;Go;HTML/CSS;Java;JavaScript,28245.0
"Developer, game or graphics","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,C++;C#;JavaScript;Python;SQL,40459.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",19,HTML/CSS;JavaScript;SQL;TypeScript,68705.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,68705.0
"Developer, QA or test","Bachelor’s degree (BA, BS, B.Eng., etc.)",1,Bash/Shell/PowerShell;C++;Python;SQL,68705.0
System administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",19,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;Ruby,76339.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;C#;JavaScript;Python;SQL,61071.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",17,Bash/Shell/PowerShell;C;C++;Java;Python,95423.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,39696.0
"Developer, QA or test","Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Assembly;Bash/Shell/PowerShell;C;C++;Python;SQL,55727.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",6,C++;C#;F#,71758.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;C++;C#;HTML/CSS;Java;Python;SQL,37940.0
"Developer, desktop or enterprise applications","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;TypeScript,72522.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;R;SQL;VBA,51910.0
"Developer, front-end",Associate degree,16,C#;HTML/CSS;JavaScript;SQL;TypeScript,45803.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",30,C;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA,65651.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",30,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;PHP;TypeScript,76339.0
"Developer, back-end","Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;Python;R;Ruby;SQL;TypeScript,54200.0
System administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",25,HTML/CSS;JavaScript;PHP;Python;SQL,68705.0
Product manager,"Bachelor’s degree (BA, BS, B.Eng., etc.)",8,HTML/CSS;JavaScript;PHP,74048.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",7,Kotlin,87789.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;SQL,41986.0
Student,,5,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;SQL;VBA,48093.0
"Developer, back-end","Other doctoral degree (Ph.D, Ed.D., etc.)",8,Bash/Shell/PowerShell;C#;F#;Java;JavaScript;Python;TypeScript;Other(s):,91606.0
DevOps specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Python,72522.0
Database administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",22,C#;JavaScript;SQL,83972.0
"Developer, full-stack","Master’s degree (MA, MS, M.Eng., MBA, etc.)",2,HTML/CSS;JavaScript;Python;SQL;TypeScript,47712.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Bash/Shell/PowerShell;Java;JavaScript,129775.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",1,HTML/CSS;Java;JavaScript;PHP;Python;SQL,53437.0
"Developer, front-end",Associate degree,3,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript,64888.0
"Developer, QA or test","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,45040.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",16,HTML/CSS;JavaScript;SQL;VBA;Other(s):,41986.0
System administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",12,C#;HTML/CSS;PHP;Python;VBA,88000.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",10,C++;C#;Ruby;SQL,83972.0
Database administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL,57254.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Bash/Shell/PowerShell;Go;JavaScript;Ruby;Swift,83972.0
"Engineer, data","Master’s degree (MA, MS, M.Eng., MBA, etc.)",3,C;HTML/CSS;JavaScript;Python,27480.0
Product manager,Associate degree,5,Bash/Shell/PowerShell;C#;F#;HTML/CSS;JavaScript;SQL;Swift,80155.0
Data or business analyst,"Bachelor’s degree (BA, BS, B.Eng., etc.)",12,Bash/Shell/PowerShell;C;C#;Dart;Elixir;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;R;Ruby;Rust;SQL;Swift;TypeScript;VBA,0.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",8,Bash/Shell/PowerShell;C#;Dart;HTML/CSS;JavaScript;SQL;TypeScript;VBA,53437.0
DevOps specialist,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",25,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL,73284.0
Data or business analyst,Associate degree,18,HTML/CSS;JavaScript;PHP;Python;SQL,76339.0
System administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;Go;Java;Python;Rust;SQL,36642.0
"Developer, mobile",Some college/university study without earning a degree,7,Bash/Shell/PowerShell;Dart;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;Python;Ruby;SQL;Swift,76339.0
"Developer, front-end",Associate degree,1,HTML/CSS;JavaScript;PHP;Python,36642.0
Educator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",18,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python,87789.0
"Developer, desktop or enterprise applications","Master’s degree (MA, MS, M.Eng., MBA, etc.)",10,C#;HTML/CSS;JavaScript;PHP;TypeScript,91606.0
"Developer, desktop or enterprise applications",Associate degree,1,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;Other(s):,30535.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",30,HTML/CSS;JavaScript,76339.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",16,C;C++;Python;Scala;SQL;Other(s):,87789.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;JavaScript;PHP;Rust;SQL;TypeScript;WebAssembly,83972.0
"Developer, mobile","Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Java;SQL,107637.0
"Developer, back-end","Master’s degree (MA, MS, M.Eng., MBA, etc.)",13,HTML/CSS;Java;JavaScript;Scala,74812.0
"Developer, QA or test","Bachelor’s degree (BA, BS, B.Eng., etc.)",1,Elixir;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL,42750.0
"Developer, game or graphics","Bachelor’s degree (BA, BS, B.Eng., etc.)",8,C#;Java;Scala,76339.0
Database administrator,Associate degree,5,C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA,45803.0
System administrator,Some college/university study without earning a degree,20,Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;PHP;Python;TypeScript,80155.0
"Developer, desktop or enterprise applications",,5,HTML/CSS;JavaScript,37.0
Designer,"Bachelor’s degree (BA, BS, B.Eng., etc.)",18,C#;Java;JavaScript;Python;SQL;TypeScript,103057.0
Database administrator,Some college/university study without earning a degree,10,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;Python;SQL;TypeScript,109932.0
Designer,"Bachelor’s degree (BA, BS, B.Eng., etc.)",8,Bash/Shell/PowerShell;C++;Java;Python;Other(s):,71376.0
Data or business analyst,"Bachelor’s degree (BA, BS, B.Eng., etc.)",24,C#;SQL,67178.0
"Engineer, site reliability","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;SQL,62840.0
Designer,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",11,HTML/CSS;Java;JavaScript;PHP;Python;Ruby;Rust;TypeScript,122142.0
"Developer, back-end","Master’s degree (MA, MS, M.Eng., MBA, etc.)",13,C;C++;C#;HTML/CSS;Java;JavaScript;PHP;R;Ruby;SQL;TypeScript,68705.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,45803.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;SQL,62840.0
"Developer, mobile","Bachelor’s degree (BA, BS, B.Eng., etc.)",9,C;C++;HTML/CSS;Objective-C;Swift,129775.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",12,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,76339.0
"Developer, back-end",Some college/university study without earning a degree,11,C#;HTML/CSS;JavaScript;Python;SQL;Other(s):,70231.0
Senior executive/VP,"Bachelor’s degree (BA, BS, B.Eng., etc.)",9,Bash/Shell/PowerShell;C++;Elixir;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;SQL,122142.0
"Developer, QA or test",Some college/university study without earning a degree,3,HTML/CSS;JavaScript;PHP;SQL,51910.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",10,C#;Dart;JavaScript;Objective-C;Python;Swift,83972.0
"Developer, back-end",,13,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript;VBA,45803.0
"Engineer, site reliability","Other doctoral degree (Ph.D, Ed.D., etc.)",21,Bash/Shell/PowerShell;Clojure;Go;Python;SQL,103057.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",12,Bash/Shell/PowerShell;C++;JavaScript,83209.0
Educator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;Java;JavaScript;Python;Other(s):,54964.0
"Developer, full-stack",,5,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;SQL;VBA,48093.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",12,Java;JavaScript;Python;TypeScript,83972.0
"Developer, mobile",I never completed any formal education,12,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;Scala;SQL;VBA,62598.0
"Developer, game or graphics","Bachelor’s degree (BA, BS, B.Eng., etc.)",24,C#;HTML/CSS;JavaScript;PHP;Python;SQL,122142.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL,57254.0
DevOps specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;SQL;TypeScript,72522.0
"Developer, mobile","Bachelor’s degree (BA, BS, B.Eng., etc.)",20,C++;C#;HTML/CSS;JavaScript;SQL,95423.0
Database administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Ruby;SQL,41986.0
"Developer, desktop or enterprise applications",Associate degree,1,Dart;HTML/CSS;Java;PHP;SQL,46699.0
Designer,,4,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,42750.0
Designer,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7,C#;HTML/CSS;JavaScript;Objective-C;SQL;Swift,53437.0
Product manager,Some college/university study without earning a degree,26,HTML/CSS;JavaScript;Ruby;SQL,97713.0
System administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",8,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL,54839.0
Database administrator,Some college/university study without earning a degree,20,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL;TypeScript,72522.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",10,HTML/CSS;Java;JavaScript;SQL,60307.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",22,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript;VBA,80155.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;Java;JavaScript;SQL;TypeScript,1908.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",17,Bash/Shell/PowerShell;C;C#;JavaScript,77102.0
"Developer, embedded applications or devices","Bachelor’s degree (BA, BS, B.Eng., etc.)",11,Assembly;Bash/Shell/PowerShell;C;C++;JavaScript,81682.0
"Developer, game or graphics","Bachelor’s degree (BA, BS, B.Eng., etc.)",18,Bash/Shell/PowerShell;C++;C#,96187.0
"Developer, QA or test","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;C;C++;Java;Python;SQL,69621.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",7,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;Ruby,91606.0
Data scientist or machine learning specialist,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",21,Assembly;Bash/Shell/PowerShell;C;C++;C#;Clojure;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;Scala;SQL;Swift;TypeScript,91606.0
"Developer, QA or test","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;Scala;SQL;TypeScript,64888.0
"Developer, QA or test",,3,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,38169.0
"Developer, back-end","Professional degree (JD, MD, etc.)",16,C#;HTML/CSS;JavaScript;SQL;VBA,45803.0
"Developer, full-stack",Some college/university study without earning a degree,10,Bash/Shell/PowerShell;SQL;VBA,46566.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;C;C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;Other(s):,41223.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",15,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,70231.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;JavaScript;PHP;Rust;SQL;TypeScript;WebAssembly,83972.0
Data or business analyst,"Bachelor’s degree (BA, BS, B.Eng., etc.)",30,Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;PHP;SQL,68705.0
"Developer, QA or test","Bachelor’s degree (BA, BS, B.Eng., etc.)",21,HTML/CSS;JavaScript;Objective-C;PHP;SQL;Swift;TypeScript,68705.0
"Developer, front-end",Associate degree,14,C#;JavaScript;SQL,57254.0
Designer,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL;Swift,53437.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",7,HTML/CSS;Java;JavaScript;PHP;SQL,53437.0
"Developer, back-end","Other doctoral degree (Ph.D, Ed.D., etc.)",5,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL;TypeScript,83972.0
DevOps specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",8,C#;Java;Scala,76339.0
DevOps specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,HTML/CSS;JavaScript;PHP;SQL;TypeScript,76339.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",7,C#;HTML/CSS;JavaScript;SQL,67178.0
"Developer, desktop or enterprise applications","Other doctoral degree (Ph.D, Ed.D., etc.)",19,Bash/Shell/PowerShell;C++;Python,64506.0
