EdLevel,YearsCodePro,LanguageWorkedWith,DevType,ConvertedComp,Employment
Some college/university study without earning a degree,22,Assembly;Bash/Shell/PowerShell;C#;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;Scala;SQL;VBA,"Developer, mobile",110691,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5,HTML/CSS;Java;Python;R;Other(s):,"Developer, full-stack",61834,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,Assembly;C++;C#;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,"Developer, front-end",63361,Employed full-time
"Professional degree (JD, MD, etc.)",18,C#;SQL,Database administrator,51147,Employed full-time
Some college/university study without earning a degree,6,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, desktop or enterprise applications",61071,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,C++;Dart;HTML/CSS;JavaScript;SQL,"Developer, full-stack",45803,Employed full-time
Some college/university study without earning a degree,24,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;SQL,Database administrator,87789,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",7,C#;HTML/CSS;JavaScript;SQL;Other(s):,"Developer, full-stack",67178,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",28,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Objective-C;Python;Scala;SQL,System administrator,103057,Employed full-time
Associate degree,2,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,"Developer, back-end",76350,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",33,Assembly;Bash/Shell/PowerShell;C;C#;HTML/CSS;JavaScript;PHP;SQL;VBA;Other(s):,Educator,84736,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",3,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;SQL,"Developer, back-end",53437,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",4,C;C++;C#;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;SQL;TypeScript;VBA,"Developer, mobile",53437,Employed full-time
I never completed any formal education,13,HTML/CSS;JavaScript,System administrator,80155,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,C#;Dart;JavaScript;Objective-C;Python;Swift,"Developer, front-end",83972,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1,C;C++;C#;Elixir;HTML/CSS;Java;Python;SQL,"Developer, full-stack",34352,Employed full-time
Associate degree,7,C#;F#,"Developer, desktop or enterprise applications",66414,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",8,Bash/Shell/PowerShell;C++;Java;Python;Other(s):,DevOps specialist,71376,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",21,Bash/Shell/PowerShell;C#;Go;Java;JavaScript;Python;SQL;TypeScript,DevOps specialist,95423,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",7,Kotlin,DevOps specialist,87789,Employed full-time
Some college/university study without earning a degree,11,C#;HTML/CSS;SQL,Data or business analyst,72522,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;Python,"Developer, game or graphics",94000,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Python,Scientist,54964,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,Bash/Shell/PowerShell;C;Erlang;Scala;SQL;Other(s):,"Developer, back-end",87789,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;SQL,Database administrator,11451,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,PHP,"Engineer, site reliability",57254,Employed full-time
Some college/university study without earning a degree,1,HTML/CSS;JavaScript;PHP,"Developer, full-stack",40078,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",3,Bash/Shell/PowerShell;Python;SQL,Data scientist or machine learning specialist,91606,Employed full-time
NA,8,Bash/Shell/PowerShell;Go;HTML/CSS;SQL,Engineering manager,85499,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10,Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Database administrator,68705,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",7,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;Ruby;SQL,"Developer, front-end",91600,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",8,Bash/Shell/PowerShell;HTML/CSS;JavaScript,"Developer, front-end",76339,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10,C#;HTML/CSS;JavaScript;PHP;TypeScript,"Developer, back-end",91606,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;Java;JavaScript;Swift;TypeScript,"Developer, mobile",76339,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10,C#;HTML/CSS;Java;JavaScript,"Developer, desktop or enterprise applications",56300,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",6,Bash/Shell/PowerShell;C;C++;C#;F#;Go;HTML/CSS;Java;JavaScript;Objective-C;Python;R;SQL;TypeScript;VBA,Data scientist or machine learning specialist,59162,Employed full-time
Associate degree,14,HTML/CSS;Java;JavaScript;SQL;Other(s):,"Developer, back-end",62598,Employed full-time
Associate degree,5,C#;HTML/CSS;JavaScript;SQL,System administrator,61071,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",2,HTML/CSS;JavaScript;Python;SQL,Database administrator,53437,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Elixir,"Developer, full-stack",51910,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",15,HTML/CSS;Java;JavaScript;Python;SQL,"Developer, back-end",76339,Employed full-time
Associate degree,14,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL,DevOps specialist,61071,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",9,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,"Developer, front-end",70995,Employed full-time
Associate degree,21,C#;HTML/CSS;JavaScript;SQL,Data or business analyst,82064,Employed full-time
Associate degree,14,HTML/CSS;Java;JavaScript;SQL;Other(s):,"Developer, QA or test",62598,Employed full-time
Associate degree,16,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;TypeScript,"Developer, full-stack",80155,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;R;SQL;Swift;TypeScript,"Developer, full-stack",62598,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, QA or test",42950,Employed full-time
Some college/university study without earning a degree,10,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,"Developer, back-end",45803,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",11,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript,"Developer, back-end",74812,Employed full-time
"Professional degree (JD, MD, etc.)",2,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL,"Developer, full-stack",49620,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;Python;Ruby;SQL,Database administrator,38169,Employed full-time
"Other doctoral degree (Ph.D, Ed.D., etc.)",9,Python,Data scientist or machine learning specialist,80155,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;Java;JavaScript,"Developer, back-end",54964,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",8,Bash/Shell/PowerShell;C#;Dart;HTML/CSS;JavaScript;SQL;TypeScript;VBA,"Developer, back-end",53437,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",22,C#;HTML/CSS;JavaScript;PHP;SQL,"Developer, desktop or enterprise applications",37788,Employed full-time
Associate degree,5,C#;HTML/CSS;JavaScript;PHP,"Developer, full-stack",41986,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",18,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;Ruby;SQL,"Developer, front-end",100080,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",25,C;C++;HTML/CSS;Java;Python,"Developer, full-stack",99240,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",17,Bash/Shell/PowerShell;C;C++;Java;Python,"Developer, full-stack",95423,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;R;SQL;VBA,"Developer, desktop or enterprise applications",51910,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",25,HTML/CSS;JavaScript;PHP;Python;SQL,Database administrator,68705,Employed full-time
NA,5,HTML/CSS;JavaScript,"Developer, desktop or enterprise applications",37,Employed full-time
NA,3,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;SQL;TypeScript,"Developer, full-stack",61071,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,JavaScript;Ruby;SQL;TypeScript,"Developer, full-stack",56490,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Bash/Shell/PowerShell;Java;JavaScript,System administrator,129775,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",22,Bash/Shell/PowerShell;C;Python,"Developer, back-end",80155,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;C;C++;Python;SQL,"Developer, back-end",72522,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Bash/Shell/PowerShell;Elixir;Go;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, back-end",72522,Employed full-time
Associate degree,20,C#;JavaScript;SQL;VBA,System administrator,54960,Employed full-time
Associate degree,5,JavaScript;Kotlin;PHP;TypeScript,"Developer, back-end",49620,Employed full-time
NA,1,Java;PHP;Python;SQL,"Developer, mobile",48857,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",16,HTML/CSS;Java;JavaScript;SQL;Swift,"Developer, mobile",76339,Employed full-time
Associate degree,5,C#;HTML/CSS;JavaScript;PHP,Designer,41986,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,Elixir;HTML/CSS;JavaScript;Ruby;Other(s):,"Developer, full-stack",152677,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Elixir;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, full-stack",64888,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",19,C#,DevOps specialist,99240,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",16,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;JavaScript,"Developer, front-end",129775,Employed full-time
Some college/university study without earning a degree,20,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;Other(s):,"Developer, desktop or enterprise applications",79392,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",15,C#;SQL,"Developer, desktop or enterprise applications",61834,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,C;HTML/CSS;Java;JavaScript;Python,"Developer, full-stack",68705,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;C++;C#;Elixir;Erlang;HTML/CSS;Java;JavaScript;Python;SQL,DevOps specialist,72522,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",4,HTML/CSS;JavaScript;Python;Ruby;TypeScript,"Developer, full-stack",85881,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL,"Developer, back-end",57254,Employed full-time
"Professional degree (JD, MD, etc.)",3,Dart;HTML/CSS;JavaScript;PHP;Ruby;SQL,"Developer, back-end",34543,Employed full-time
"Professional degree (JD, MD, etc.)",3,Dart;HTML/CSS;JavaScript;PHP;Ruby;SQL,"Developer, front-end",34543,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Bash/Shell/PowerShell;C++;Objective-C;Python;TypeScript,DevOps specialist,68705,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;Java;JavaScript;Swift;TypeScript,"Developer, full-stack",76339,Employed full-time
Some college/university study without earning a degree,19,Bash/Shell/PowerShell;Java;Swift,"Developer, full-stack",103057,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",22,Bash/Shell/PowerShell;C++;Java;Objective-C,"Developer, back-end",152677,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;Java;Kotlin;SQL;TypeScript,"Developer, mobile",39696,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",2,C#;HTML/CSS;Java;JavaScript;Kotlin;R;SQL;VBA,Database administrator,59544,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Bash/Shell/PowerShell;C++;Clojure;HTML/CSS;Java;JavaScript;Python;Scala;SQL,"Developer, full-stack",106874,Employed full-time
Some college/university study without earning a degree,22,Assembly;Bash/Shell/PowerShell;C#;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;Scala;SQL;VBA,System administrator,110691,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",7,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,"Developer, front-end",96187,Employed full-time
"Other doctoral degree (Ph.D, Ed.D., etc.)",14,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;TypeScript,Data scientist or machine learning specialist,61071,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",21,C++;Go,"Developer, mobile",80202,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;JavaScript;Objective-C;SQL;Swift;TypeScript,Senior executive/VP,29009,Employed full-time
Some college/university study without earning a degree,3,Dart;HTML/CSS;JavaScript;Python,"Developer, QA or test",30535,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;C;HTML/CSS;Ruby;TypeScript,"Developer, full-stack",76339,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",8,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,"Developer, mobile",87789,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;Java;JavaScript;SQL;Other(s):,"Developer, back-end",61071,Employed full-time
Associate degree,12,C#;JavaScript;SQL;TypeScript,Engineering manager,122142,Employed full-time
Associate degree,11,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript;VBA,Database administrator,76339,Employed full-time
Some college/university study without earning a degree,7,Bash/Shell/PowerShell;C;C++;C#;Clojure;HTML/CSS;Java;JavaScript;Python;Scala;SQL;VBA,Database administrator,61071,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",21,Assembly;Bash/Shell/PowerShell;C;C++;C#;Clojure;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;Scala;SQL;Swift;TypeScript,"Developer, mobile",91606,Employed full-time
Some college/university study without earning a degree,18,C#;PHP;Swift,Database administrator,71758,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Java;PHP;Ruby;TypeScript,"Developer, back-end",41986,Employed full-time
Some college/university study without earning a degree,13,C++;C#;Python,"Developer, QA or test",76339,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",30,Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;PHP;SQL,"Developer, front-end",68705,Employed full-time
Some college/university study without earning a degree,34,Assembly;Bash/Shell/PowerShell;C;HTML/CSS;PHP;Other(s):,NA,57162,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",15,Bash/Shell/PowerShell;C;C++;C#;Go;HTML/CSS;Java;JavaScript;Rust;WebAssembly,"Developer, embedded applications or devices",125959,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5,HTML/CSS;JavaScript;Ruby,"Developer, full-stack",72522,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",7,Bash/Shell/PowerShell;C#;SQL;VBA,"Developer, game or graphics",45803,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, embedded applications or devices",38933,Employed full-time
Some college/university study without earning a degree,10,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,Marketing or sales professional,45803,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",37,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL,DevOps specialist,104202,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",15,Bash/Shell/PowerShell;C;C++;C#;Go;HTML/CSS;Java;JavaScript;Rust;WebAssembly,"Developer, back-end",125959,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",9,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Ruby,"Developer, back-end",61071,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",8,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Developer, full-stack",106874,Employed full-time
Associate degree,7,HTML/CSS;Python,Engineering manager,64888,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,HTML/CSS;Java;JavaScript;PHP;SQL;Swift,"Developer, mobile",71376,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20,Go;HTML/CSS;Java;JavaScript;PHP,"Developer, full-stack",137409,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Bash/Shell/PowerShell;C#;Go;JavaScript;Python;SQL,"Developer, back-end",64888,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",20,C#;SQL,"Developer, full-stack",129775,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",24,C#;HTML/CSS;JavaScript;PHP;Python;SQL,Data or business analyst,122142,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",18,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript;WebAssembly,"Developer, desktop or enterprise applications",76339,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",19,Bash/Shell/PowerShell;C++;C#;HTML/CSS;PHP;Python,"Developer, QA or test",175579,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;SQL,"Developer, back-end",49620,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",6,C++;C#;F#,"Developer, game or graphics",71758,Employed full-time
"Other doctoral degree (Ph.D, Ed.D., etc.)",18,C#;F#;SQL,Engineering manager,112218,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",6,HTML/CSS;JavaScript,"Developer, front-end",68705,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",20,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Kotlin;Scala;SQL,Product manager,61071,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",25,HTML/CSS;JavaScript;PHP;Python;SQL,"Developer, full-stack",68705,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",21,Bash/Shell/PowerShell;C#;Go;Java;JavaScript;Python;SQL;TypeScript,"Developer, full-stack",95423,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",25,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Academic researcher,73284,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,C#;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, mobile",53437,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",7,HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,"Developer, back-end",72522,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",40,Bash/Shell/PowerShell;Python;R;SQL;Other(s):,"Developer, full-stack",76339,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;TypeScript,"Developer, full-stack",72522,Employed full-time
Associate degree,5,HTML/CSS;JavaScript;Ruby;TypeScript;Other(s):,"Developer, full-stack",76339,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",21,HTML/CSS;JavaScript;Objective-C;PHP;SQL;Swift;TypeScript,"Developer, desktop or enterprise applications",68705,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;R;SQL;TypeScript,"Developer, front-end",60307,Employed full-time
I never completed any formal education,4,HTML/CSS;JavaScript,"Developer, front-end",36833,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",22,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript;VBA,"Developer, back-end",80155,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",17,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;Other(s):,"Developer, full-stack",85499,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,C++;C#;TypeScript,"Developer, front-end",34352,Employed full-time
Associate degree,5,C#;Java,"Developer, back-end",55345,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",16,C#;HTML/CSS;Java;JavaScript;TypeScript,"Developer, back-end",78629,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;Swift;TypeScript,DevOps specialist,91606,Employed full-time
NA,14,HTML/CSS;JavaScript,"Developer, full-stack",68705,Employed full-time
Some college/university study without earning a degree,11,Bash/Shell/PowerShell;C#;Java;Python;SQL;Other(s):,"Developer, back-end",43513,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"Developer, back-end",61071,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10,Bash/Shell/PowerShell;C#;Java;Kotlin;Python;Rust;Scala,Scientist,118325,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10,C;C++;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript;VBA,"Developer, desktop or enterprise applications",76339,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5,Go;JavaScript;Python;TypeScript;Other(s):,"Developer, front-end",54964,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Assembly;Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Python;Other(s):,"Developer, mobile",160311,Employed full-time
Some college/university study without earning a degree,10,C#;SQL;VBA,Data or business analyst,64888,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",17,C;Go;Java;JavaScript;PHP;Ruby;SQL,"Developer, full-stack",91606,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,"Developer, back-end",45040,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,HTML/CSS;JavaScript;PHP,"Developer, QA or test",38169,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",6,Bash/Shell/PowerShell;Python;Ruby;Scala;SQL,Data scientist or machine learning specialist,106874,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;C++;Go;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, desktop or enterprise applications",66414,Employed full-time
Associate degree,1,Bash/Shell/PowerShell;C#;Go;HTML/CSS;Java;JavaScript;SQL,"Developer, QA or test",45803,Employed full-time
NA,2,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript;VBA,"Engineer, site reliability",38169,Employed full-time
